,movie,year,imdb,metascore,votes
0,Inglourious Basterds,2009,8.3,69        ,1137703
1,Avatar,2009,7.8,83        ,1054491
2,Up,2009,8.2,88        ,856955
3,The Hangover,2009,7.7,73        ,675482
4,District 9,2009,7.9,81        ,608298
5,Star Trek,2009,7.9,82        ,558776
6,Sherlock Holmes,2009,7.6,57        ,552505
7,Zombieland,2009,7.6,73        ,466166
8,Watchmen,2009,7.6,56        ,458716
9,(500) Days of Summer,2009,7.7,76        ,444505
10,X-Men Origins: Wolverine,2009,6.6,40        ,441536
11,Harry Potter and the Half-Blood Prince,2009,7.6,78        ,423913
12,Transformers: Revenge of the Fallen,2009,6.0,35        ,367152
13,2012,2009,5.8,49        ,330652
14,Terminator Salvation,2009,6.5,49        ,323105
15,Moon,2009,7.9,67        ,314318
16,3 Idiots,2009,8.4,67        ,304960
17,Up in the Air,2009,7.4,83        ,302650
18,The Proposal,2009,6.7,48        ,275162
19,The Blind Side,2009,7.6,53        ,269885
20,Public Enemies,2009,7.0,70        ,263238
21,Angels & Demons,2009,6.7,48        ,254945
22,Law Abiding Citizen,2009,7.4,34        ,254784
23,The Twilight Saga: New Moon,2009,4.7,44        ,250506
24,Fast & Furious,2009,6.6,46        ,245233
25,Knowing,2009,6.2,41        ,209950
26,The Road,2009,7.2,64        ,209349
27,Ice Age: Dawn of the Dinosaurs,2009,6.9,50        ,206448
28,Mr. Nobody,2009,7.8,63        ,199369
29,Män som hatar kvinnor,2009,7.8,76        ,199058
30,G.I. Joe: The Rise of Cobra,2009,5.8,32        ,191872
31,The Ugly Truth,2009,6.4,28        ,191650
32,Cloudy with a Chance of Meatballs,2009,6.9,66        ,188136
33,"I Love You, Man",2009,7.0,70        ,186462
34,Coraline,2009,7.7,80        ,180001
35,Fantastic Mr. Fox,2009,7.8,83        ,178759
36,Drag Me to Hell,2009,6.5,83        ,178183
37,Orphan,2009,6.9,42        ,177142
38,El secreto de sus ojos,2009,8.2,80        ,174881
39,The Taking of Pelham 123,2009,6.4,55        ,174741
40,17 Again,2009,6.3,48        ,168623
41,Surrogates,2009,6.3,45        ,163984
42,Night at the Museum: Battle of the Smithsonian,2009,6.0,42        ,162667
43,He's Just Not That Into You,2009,6.4,47        ,150630
44,Adventureland,2009,6.8,76        ,147261
45,The Lovely Bones,2009,6.7,42        ,146735
46,Underworld: Rise of the Lycans,2009,6.6,44        ,143250
47,Invictus,2009,7.3,74        ,141649
48,The Imaginarium of Doctor Parnassus,2009,6.8,65        ,139230
49,Pandorum,2009,6.7,28        ,137533
50,Monsters vs. Aliens,2009,6.5,56        ,137122
51,Brüno,2009,5.8,54        ,135004
52,The Time Traveler's Wife,2009,7.1,47        ,133514
53,Crank: High Voltage,2009,6.2,41        ,132696
54,State of Play,2009,7.1,64        ,128136
55,9,2009,7.1,60        ,126516
56,Gamer,2009,5.8,27        ,125273
57,An Education,2009,7.3,85        ,123676
58,A Serious Man,2009,7.0,79        ,122920
59,The Men Who Stare at Goats,2009,6.2,54        ,122047
60,Daybreakers,2009,6.4,57        ,117338
61,The Princess and the Frog,2009,7.1,73        ,111189
62,Funny People,2009,6.3,60        ,109587
63,The Invention of Lying,2009,6.3,58        ,108054
64,Antichrist,2009,6.6,49        ,107657
65,Jennifer's Body,2009,5.2,47        ,107095
66,Brothers,2009,7.1,58        ,103984
67,The Boat That Rocked,2009,7.4,58        ,102807
68,Push,2009,6.1,36        ,101191
69,Precious,2009,7.3,79        ,100753
70,A Single Man,2009,7.6,77        ,100074
71,Julie & Julia,2009,7.0,66        ,97510
72,Where the Wild Things Are,2009,6.7,71        ,96852
73,Paul Blart: Mall Cop,2009,5.2,39        ,96492
74,Couples Retreat,2009,5.5,23        ,96259
75,Bride Wars,2009,5.5,24        ,95159
76,Saw VI,2009,6.0,30        ,94283
77,A Christmas Carol,2009,6.8,55        ,92534
78,The Final Destination,2009,5.2,30        ,90040
79,Friday the 13th,2009,5.5,34        ,89972
80,Un prophète,2009,7.9,90        ,88570
81,Splice,2009,5.7,66        ,88446
82,I Love You Phillip Morris,2009,6.6,65        ,87699
83,The International,2009,6.5,52        ,87399
84,Year One,2009,4.9,34        ,86830
85,Flickan som lekte med elden,2009,7.2,66        ,85937
86,The Box,2009,5.5,47        ,85738
87,My Sister's Keeper,2009,7.4,51        ,85388
88,It's Complicated,2009,6.5,57        ,81320
89,Harry Brown,2009,7.2,55        ,81087
90,Crazy Heart,2009,7.2,83        ,80005
91,The Last House on the Left,2009,6.5,42        ,79987
92,Ghosts of Girlfriends Past,2009,5.8,34        ,78392
93,Case 39,2009,6.2,25        ,72300
94,The Uninvited,2009,6.3,43        ,72045
95,The Bad Lieutenant: Port of Call - New Orleans,2009,6.6,69        ,71284
96,Confessions of a Shopaholic,2009,5.9,38        ,71255
97,Youth in Revolt,2009,6.4,63        ,70559
98,The Fourth Kind,2009,5.9,34        ,70344
99,Kynodontas,2009,7.3,73        ,70152
100,The Human Centipede (First Sequence),2009,4.4,33        ,68385
101,Whatever Works,2009,7.1,45        ,67377
102,Dragonball Evolution,2009,2.5,45        ,66466
103,Solomon Kane,2009,6.1,48        ,66338
104,Chloe,2009,6.3,48        ,65373
105,Ninja Assassin,2009,6.3,34        ,65023
106,[Rec]²,2009,6.5,52        ,64527
107,A Perfect Getaway,2009,6.5,63        ,64380
108,Luftslottet som sprängdes,2009,7.3,60        ,63607
109,Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,82        ,63312
110,Enter the Void,2009,7.3,69        ,62189
111,Agora,2009,7.2,55        ,62004
112,Whip It,2009,6.9,68        ,61463
113,Død snø,2009,6.3,61        ,61242
114,Land of the Lost,2009,5.3,32        ,60984
115,The Informant!,2009,6.4,66        ,60402
116,The Boondock Saints II: All Saints Day,2009,6.3,24        ,59008
117,Brooklyn's Finest,2009,6.7,43        ,58356
118,Observe and Report,2009,5.8,54        ,58068
119,The Haunting in Connecticut,2009,5.9,33        ,56800
120,Everybody's Fine,2009,7.1,47        ,56357
121,Fish Tank,2009,7.3,81        ,55195
122,Fanboys,2009,6.6,45        ,54469
123,The Young Victoria,2009,7.3,64        ,54364
124,The Collector,2009,6.4,29        ,53312
125,Valhalla Rising,2009,6.1,61        ,52450
126,Race to Witch Mountain,2009,5.7,52        ,51760
127,In the Loop,2009,7.4,83        ,51414
128,My Bloody Valentine,2009,5.4,51        ,51290
129,Away We Go,2009,7.0,58        ,49852
130,The Soloist,2009,6.7,61        ,49109
131,Planet 51,2009,6.0,39        ,47748
132,The Unborn,2009,4.8,30        ,47419
133,The Cove,2009,8.4,84        ,45469
134,Duplicity,2009,6.1,69        ,45447
135,Halloween II,2009,4.9,35        ,45014
136,Black Dynamite,2009,7.4,65        ,43255
137,Extract,2009,6.1,61        ,42928
138,Banlieue 13: Ultimatum,2009,6.5,64        ,41347
139,Nine,2009,5.8,49        ,40968
140,Cirque du Freak: The Vampire's Assistant,2009,5.9,43        ,40866
